newsID,url,mainSection,title,titleCharCount,textCharCount,body
9223031724623984709,http://g1.globo.com/mundo/playlist/veja-videos-sobre-a-familia-real-britanica.ghtml,Mundo,Veja vídeos sobre a Família Real Britânica,42,42,Veja vídeos sobre a Família Real Britânica
9223031724623104835,http://g1.globo.com/noticia/2022/04/14/russia-diz-que-finlandia-e-suecia-enfrentarao-represalias-caso-entrem-na-otan.ghtml,G1,Rússia diz que Finlândia e Suécia enfrentarão represálias caso entrem na Otan,77,3149,"Kremlin subiu o tom das ameaças a Suécia e Finlândia, com quem faz fronteira. 
A Rússia subiu o tom contra a Finlândia e a Suécia e prometeu nesta quinta-feira (14) represálias caso os dois países passarem a fazer parte da Organização do Tratado do Atlântico Norte (Otan). 
O porta-voz do Krelmin, Dmitry Peskov, afirmou que o presidente russo, Vladimir Putin, vai considerar ""uma série de medidas"" elaboradas pelo Ministério de Defesa do país. O vice-ministro das Relações Exteriores, Alexander Grushko, afirmou que Finlândia e Suécia enfrentarão ""as consequências mais indesejadas"" se ingressarem na aliança militar, segundo a agência de notícias russa Tass. 
Os dois países afirmaram na quarta-feira (13) que estão analisando a entrada na Otan em resposta à invasão na Ucrânia, que completa 50 dias nesta quinta-feira (14). 
Também nesta quinta-feira, o ex-presidente russo Dmitry Medvedev, um dos aliados de Putin mais próximos a ele e atual vice-presidente do Conselho de Segurança da Rússia, disse que o “nenhuma pessoa sã” gostaria de ver as consequências do movimento cogitado por Suécia e Finlândia e que os cidadãos suecos e finlandeses veriam armas nucleares russas “a um braço de distância” de suas casas.
Imagem mostra soldados finlandeses em exercício militar em foto sem data
Ministério do Interior da Finlândia
Medvedev afirmou ainda que o país terá que fortalecer a presença militar no Mar Báltico para restaurar o equilíbrio militar caso Suécia e Finlândia sejam aceitas na Otan. Medvedev afirmou que 
“Se a Suécia e a Finlândia entrarem na Otan, a extensão das fronteiras terrestres da aliança com a Rússia mais do que dobrará”, disse Medvedev, atual vice-presidente do Conselho de Segurança da Rússia, em um canal no aplicativo Telegram. “Naturalmente, essas fronteiras terão que ser reforçadas.”
Fronteira entre Rússia e Finlândia tem mais de 1,3 mil km de extensão 
Arte g1
A Finlândia divide mais de 1,3 km de fronteira com a Rússia e tem planos de contingenciamento para diversas situações de calamidade, além de ter mais de 1/3 da sua população adulta entre os reservistas das Forças Armadas.
A primeira-ministra da Finlândia,  Sanna Marin, afirmou que vai decidir sobre solicitar o ingresso na aliança nas próximas semanas. Já a primeira-ministra da Suécia, Magdalena Andersson, disse que vai se reunir em maio com a oposição do país para debater a candidatura. 
Leia mais:
Países nórdicos discutem pedir adesão à Otan
'País mais feliz do mundo', Finlândia está de prontidão para eventual guerra com a Rússia; veja preparativos
O apoio à entrada na Otan cresceu entre suecos e finlandeses desde o início da invasão da Ucrânia, pressionando o governo dos dois países, que adotam um status de neutralidade, a considerarem a questão.
Autoridades da Otan disseram ao “Financial Times” disseram que as declarações de Medvedev indicam que a Rússia oficializará o envio de mísseis de cruzeiro Iskander, capazes de transportar ogivas nucleares, para o enclave de Kaliningrado, que fica entre a Polônia e a Lituânia. Isso daria a Moscou o potencial de atacar várias capitais da União Europeia (UE).
Com informações do Valor Online. "
9223031724623666708,http://g1.globo.com/ro/rondonia/noticia/2022/07/11/duas-pessoas-morrem-apos-carro-cair-de-ponte-na-area-rural-de-ji-parana-ro.ghtml,RO,"Duas pessoas morrem após carro cair de ponte na área rural de Ji-Paraná, RO",75,1251,"Acidente em ponte de Ji-Paraná deixa dois mortos
Um casal morreu após um carro cair de uma ponte na área rural de Ji-Paraná (RO). O acidente aconteceu na noite do último domingo (10). De acordo com testemunhas, as vítimas estavam em alta velocidade quando foram atravessar a ponte e acabaram caindo. 
Motorista e passageiro ficaram presos na cabine do veículo e morreram afogados. Um homem que vinha em um veículo logo atrás viu o que aconteceu e acionou os bombeiros. 
De acordo com o Corpo de Bombeiros, quando chegaram no local, o carro estava submerso no rio. Com ajuda da Polícia Militar, conseguiram retirar uma das vítimas do veículo. Chegaram a tentar o procedimento de ressuscitação, mas não tiveram sucesso. 
Os filhos do casal estiveram no local e fizeram o reconhecimento dos corpos. 
De acordo com moradores da região, esse não foi o primeiro acidente no local. Os vizinhos informaram que essa parte da linha não é sinalizada e que a ponte, por ser pequena, pode causar acidentes para quem não conhece a estrada. Os moradores reivindicam uma sinalização adequada. 
A Rede Amazônica entrou em contato com a prefeitura para saber se há uma previsão de sinalização no local do acidente, mas não teve resposta. 
Veja mais notícias de Rondônia"
9223031724623616792,http://g1.globo.com/al/alagoas/playlist/videos-chuva-causa-estragos-em-alagoas-nesta-sexta-feira-1-de-julho.ghtml,Alagoas,"VÍDEOS: Chuva causa estragos em Alagoas nesta sexta-feira, 1 de julho",69,69,"VÍDEOS: Chuva causa estragos em Alagoas nesta sexta-feira, 1 de julho"
9223031724623744359,http://g1.globo.com/al/alagoas/edicao/2022/07/26/videos-bom-dia-alagoas-de-terca-feira-26-de-julho.ghtml,Alagoas,"VÍDEOS: Bom Dia Alagoas de terça-feira, 26 de julho",51,51,"VÍDEOS: Bom Dia Alagoas de terça-feira, 26 de julho"
9223031724623803238,http://g1.globo.com/al/alagoas/edicao/2022/08/05/videos-al-2-de-sexta-feira-5-de-agosto.ghtml,Alagoas,"VÍDEOS: AL 2 de sexta-feira, 5 de agosto",40,61,Assista aos vídeos do telejornal com as notícias de Alagoas. 
9223031724623780700,http://g1.globo.com/al/alagoas/edicao/2022/08/02/videos-bom-dia-alagoas-de-terca-feira-2-de-agosto.ghtml,Alagoas,"VÍDEOS: Bom Dia Alagoas de terça-feira, 2 de agosto",51,51,"VÍDEOS: Bom Dia Alagoas de terça-feira, 2 de agosto"
9223031724623990584,http://g1.globo.com/al/alagoas/edicao/2022/09/09/videos-bom-dia-alagoas-de-sexta-feira-9-de-setembro.ghtml,Alagoas,"VÍDEOS: Bom Dia Alagoas de sexta-feira, 9 de setembro",53,53,"VÍDEOS: Bom Dia Alagoas de sexta-feira, 9 de setembro"
9223031724623885461,http://g1.globo.com/al/alagoas/edicao/2022/08/22/videos-bom-dia-alagoas-de-segunda-feira-22-de-agosto.ghtml,Alagoas,"VÍDEOS: Bom Dia Alagoas de segunda-feira, 22 de agosto",54,54,"VÍDEOS: Bom Dia Alagoas de segunda-feira, 22 de agosto"
9223031724623674924,http://g1.globo.com/al/alagoas/edicao/2022/07/13/videos-bom-dia-alagoas-de-quarta-feira-13-de-julho.ghtml,Alagoas,"VÍDEOS: Bom Dia Alagoas de quarta-feira, 13 de julho",52,52,"VÍDEOS: Bom Dia Alagoas de quarta-feira, 13 de julho"
